graph,iterations,initial_temp,alpha,epochs_per_temp,min_temp,best_dist,avg_dist,avg_steps,time_ms
qa194,100,500,0.8,50,0.001,25357,27671.8,2950,9
qa194,100,1000,0.8,50,0.001,24609,27605.8,3100,8
qa194,100,5000,0.8,50,0.001,25384,27383,3500,8
qa194,100,10000,0.8,50,0.001,24971,27428.5,3650,6
qa194,100,50000,0.8,50,0.001,25144,27530.9,4000,8
qa194,100,500,0.8,100,0.001,19099,20964.5,5900,8
qa194,100,1000,0.8,100,0.001,19150,20797.1,6200,6
qa194,100,5000,0.8,100,0.001,19358,20829,7000,9
qa194,100,10000,0.8,100,0.001,19263,20738,7300,8
qa194,100,50000,0.8,100,0.001,18796,20897.4,8000,14
qa194,100,500,0.8,200,0.001,14942,16235.9,11800,11
qa194,100,1000,0.8,200,0.001,14687,16175.8,12400,17
qa194,100,5000,0.8,200,0.001,15034,16097.1,14000,14
qa194,100,10000,0.8,200,0.001,14956,16117.9,14600,14
qa194,100,50000,0.8,200,0.001,14977,16167.8,16000,16
qa194,100,500,0.8,500,0.001,11671,12434,29500,34
qa194,100,1000,0.8,500,0.001,11703,12371,31000,30
qa194,100,5000,0.8,500,0.001,11578,12384.4,35000,47
qa194,100,10000,0.8,500,0.001,11629,12395.8,36500,39
qa194,100,50000,0.8,500,0.001,11701,12458.2,40000,63
qa194,100,500,0.9,50,0.001,18024,20343.4,6250,6
qa194,100,1000,0.9,50,0.001,18500,20326,6600,11
qa194,100,5000,0.9,50,0.001,18679,20414.8,7350,9
qa194,100,10000,0.9,50,0.001,18010,20312.8,7650,10
qa194,100,50000,0.9,50,0.001,18362,20433.5,8450,9
qa194,100,500,0.9,100,0.001,14186,15873.4,12500,16
qa194,100,1000,0.9,100,0.001,14039,15861.5,13200,17
qa194,100,5000,0.9,100,0.001,14407,15790.6,14700,16
qa194,100,10000,0.9,100,0.001,14822,15886.1,15300,16
qa194,100,50000,0.9,100,0.001,14717,15829.9,16900,23
qa194,100,500,0.9,200,0.001,12138,12914.3,25000,30
qa194,100,1000,0.9,200,0.001,11830,12890.8,26400,36
